"genus","family","order","W","V","H","N","K","p"
"Adamea","Melastomataceae","Myrtales",0,0,0,1,0,NA
"Adansonia","Malvaceae","Malvales",3,0,0,8,3,1
"Adectum","Dennstaedtiaceae","Polypodiales",0,0,0,1,0,NA
"Adelanthus","Icacinaceae","UnknownOrder-Icacinaceae",0,0,0,18,0,NA
"Adelia","Euphorbiaceae","Malpighiales",9,0,0,10,9,1
"Adelobotrys","Melastomataceae","Myrtales",3,0,0,28,3,1
"Adelocaryum","Boraginaceae","UnknownOrder-Boraginaceae",0,0,0,4,0,NA
"Adelostemma","Apocynaceae","Gentianales",0,0,0,1,0,NA
"Adelostigma","Asteraceae","Asterales",0,0,0,2,0,NA
"Adelphia","Malpighiaceae","Malpighiales",0,0,0,4,0,NA
"Adenandra","Rutaceae","Sapindales",16,0,0,19,16,1
"Adenanthellum","Asteraceae","Asterales",0,0,0,1,0,NA
"Adenanthera","Fabaceae","Fabales",5,0,0,13,5,1
"Adenanthos","Proteaceae","Proteales",31,0,0,36,31,1
"Adenarake","Ochnaceae","Malpighiales",0,0,0,2,0,NA
"Adenaria","Lythraceae","Myrtales",1,0,0,1,1,1
"Adenia","Passifloraceae","Malpighiales",0,0,2,103,2,0
"Adenium","Apocynaceae","Gentianales",1,0,0,5,1,1
"Adenoa","Passifloraceae","Malpighiales",0,0,0,1,0,NA
"Adenocalymma","Bignoniaceae","Lamiales",10,1,0,82,10,1
"Adenocarpus","Fabaceae","Fabales",4,0,0,16,4,1
"Adenocaulon","Asteraceae","Asterales",0,0,1,5,1,0
"Adenochilus","Orchidaceae","Asparagales",0,0,1,2,1,0
"Adenochlaena","Euphorbiaceae","Malpighiales",1,0,0,2,1,1
"Adenocline","Euphorbiaceae","Malpighiales",1,1,0,3,1,1
"Adenocritonia","Asteraceae","Asterales",0,0,0,3,0,NA
"Adenoderris","Dryopteridaceae","Polypodiales",0,0,0,3,0,NA
"Adenodolichos","Fabaceae","Fabales",0,0,1,22,1,0
"Adenoglossa","Asteraceae","Asterales",0,0,0,1,0,NA
"Adenogramma","Molluginaceae","Caryophyllales",1,0,1,11,2,0.5
"Adenolisianthus","Gentianaceae","Gentianales",0,0,0,1,0,NA
"Adenolobus","Fabaceae","Fabales",0,0,0,2,0,NA
"Adenoncos","Orchidaceae","Asparagales",0,0,1,17,1,0
"Adenoon","Asteraceae","Asterales",0,0,0,1,0,NA
"Adenopappus","Asteraceae","Asterales",0,0,0,1,0,NA
"Adenopeltis","Euphorbiaceae","Malpighiales",1,0,0,1,1,1
"Adenophaedra","Euphorbiaceae","Malpighiales",1,0,0,3,1,1
"Adenophora","Campanulaceae","Asterales",0,0,7,62,7,0
"Adenophorus","Polypodiaceae","Polypodiales",0,0,0,8,0,NA
"Adenophyllum","Asteraceae","Asterales",0,0,0,10,0,NA
"Adenopodia","Fabaceae","Fabales",0,0,0,7,0,NA
"Adenorandia","Rubiaceae","Gentianales",0,0,0,1,0,NA
"Adenosciadium","Apiaceae","Apiales",0,0,0,1,0,NA
"Adenosma","Plantaginaceae","Lamiales",0,0,0,26,0,NA
"Adenostemma","Asteraceae","Asterales",0,0,0,27,0,NA
"Adenostoma","Rosaceae","Rosales",2,0,0,2,2,1
"Adenostyles","Asteraceae","Asterales",0,0,2,10,2,0
"Adenothamnus","Asteraceae","Asterales",0,0,0,1,0,NA
"Adesmia","Fabaceae","Fabales",3,0,2,226,5,0.6
"Adhatoda","Acanthaceae","Lamiales",0,0,0,1,0,NA
"Adiantopsis","Pteridaceae","Polypodiales",0,0,0,17,0,NA
"Adiantum","Pteridaceae","Polypodiales",0,0,15,171,15,0
"Adina","Rubiaceae","Gentianales",2,0,0,4,2,1
"Adinandra","Pentaphylacaceae","Ericales",21,0,0,106,21,1
"Adinauclea","Rubiaceae","Gentianales",1,0,0,1,1,1
"Adiscanthus","Rutaceae","Sapindales",1,0,0,1,1,1
"Adlumia","Papaveraceae","Ranunculales",0,0,0,2,0,NA
"Adolphia","Rhamnaceae","Rosales",2,0,0,2,2,1
"Adonidia","Arecaceae","Arecales",1,0,0,1,1,1
"Adonis","Ranunculaceae","Ranunculales",0,0,5,32,5,0
"Adopogon","Asteraceae","Asterales",0,0,0,1,0,NA
"Adoxa","Adoxaceae","Dipsacales",0,0,1,2,1,0
"Adriana","Euphorbiaceae","Malpighiales",1,0,0,2,1,1
"Adromischus","Crassulaceae","Saxifragales",0,0,0,29,0,NA
"Adrorhizon","Orchidaceae","Asparagales",0,0,0,1,0,NA
"Aechmea","Bromeliaceae","Poales",0,0,29,283,29,0
"Aedesia","Asteraceae","Asterales",0,0,0,3,0,NA
"Aegialitis","Plumbaginaceae","Caryophyllales",1,0,0,2,1,1
"Aegiceras","Primulaceae","Ericales",2,0,0,2,2,1
"Aegilops","Poaceae","Poales",0,0,17,25,17,0
"Aegilotriticum","Poaceae","Poales",0,0,0,8,0,NA
"Aeginetia","Orobanchaceae","Lamiales",0,0,0,6,0,NA
"Aegiphila","Lamiaceae","Lamiales",14,0,0,150,14,1
"Aegle","Rutaceae","Sapindales",1,0,0,2,1,1
"Aeglopsis","Rutaceae","Sapindales",0,0,0,5,0,NA
"Aegokeras","Apiaceae","Apiales",0,0,0,1,0,NA
"Aegonychon","Boraginaceae","UnknownOrder-Boraginaceae",0,0,0,1,0,NA
"Aegopodium","Apiaceae","Apiales",0,0,1,8,1,0
"Aegopogon","Poaceae","Poales",0,0,1,4,1,0
"Aeluropus","Poaceae","Poales",0,0,1,5,1,0
"Aenhenrya","Orchidaceae","Asparagales",0,0,0,1,0,NA
"Aenictophyton","Fabaceae","Fabales",0,0,0,1,0,NA
"Aenigmatanthera","Malpighiaceae","Malpighiales",0,0,0,2,0,NA
"Aenigmopteris","Tectariaceae","Polypodiales",0,0,0,2,0,NA
"Aeolanthus","Lamiaceae","Lamiales",0,0,0,1,0,NA
"Aeollanthus","Lamiaceae","Lamiales",0,0,7,44,7,0
"Aeonium","Crassulaceae","Saxifragales",0,0,0,89,0,NA
"Aequatorium","Asteraceae","Asterales",0,0,0,23,0,NA
"Aerangis","Orchidaceae","Asparagales",0,0,17,53,17,0
"Aeranthes","Orchidaceae","Asparagales",0,0,3,45,3,0
"Aerides","Orchidaceae","Asparagales",0,0,2,31,2,0
"Aerva","Amaranthaceae","Caryophyllales",0,0,1,20,1,0
"Aeschynanthus","Gesneriaceae","Lamiales",0,0,2,194,2,0
"Aeschynomene","Fabaceae","Fabales",0,0,2,170,2,0
"Aesculus","Sapindaceae","Sapindales",12,0,0,23,12,1
"Aetanthus","Loranthaceae","Santalales",0,0,0,16,0,NA
"Aetheolaena","Asteraceae","Asterales",0,0,0,18,0,NA
"Aetheolirion","Commelinaceae","Commelinales",0,0,0,1,0,NA
"Aetheorhiza","Asteraceae","Asterales",0,0,1,1,1,0
"Aetheorhyncha","Orchidaceae","Asparagales",0,0,1,1,1,0
"Aethephyllum","Aizoaceae","Caryophyllales",0,0,0,1,0,NA
"Aethionema","Brassicaceae","Brassicales",0,0,2,56,2,0
"Aethusa","Apiaceae","Apiales",0,0,1,1,1,0
"Aetoxylon","Thymelaeaceae","Malvales",1,0,0,1,1,1
"Aextoxicon","Aextoxicaceae","Berberidopsidales",1,0,0,1,1,1
"Affonsea","Fabaceae","Fabales",0,0,0,14,0,NA
"Afgekia","Fabaceae","Fabales",1,0,0,3,1,1
"Afraegle","Rutaceae","Sapindales",0,0,0,1,0,NA
"Aframmi","Apiaceae","Apiales",0,0,0,2,0,NA
"Aframomum","Zingiberaceae","Zingiberales",0,0,4,55,4,0
"Afraurantium","Rutaceae","Sapindales",0,0,0,1,0,NA
"Afrobrunnichia","Polygonaceae","Caryophyllales",0,0,0,2,0,NA
"Afrocalathea","Marantaceae","Zingiberales",0,0,1,1,1,0
"Afrocanthium","Rubiaceae","Gentianales",5,0,0,17,5,1
"Afrocarpus","Podocarpaceae","Araucariales",3,0,0,5,3,1
"Afrofittonia","Acanthaceae","Lamiales",0,0,0,1,0,NA
"Afroguatteria","Annonaceae","Magnoliales",0,0,0,2,0,NA
"Afrolicania","Chrysobalanaceae","Malpighiales",1,0,0,1,1,1
"Afroligusticum","Apiaceae","Apiales",0,0,0,13,0,NA
"Afrolimon","Plumbaginaceae","Caryophyllales",0,0,0,1,0,NA
"Afropteris","Pteridaceae","Polypodiales",0,0,2,2,2,0
"Afrosciadium","Apiaceae","Apiales",0,0,0,18,0,NA
"Afrosison","Apiaceae","Apiales",0,0,0,3,0,NA
"Afrostyrax","Huaceae","Oxalidales",2,0,0,3,2,1
"Afrothismia","Burmanniaceae","Dioscoreales",0,0,0,12,0,NA
"Afrotrewia","Euphorbiaceae","Malpighiales",1,0,0,1,1,1
"Afrotrichloris","Poaceae","Poales",0,0,0,2,0,NA
"Afrotrilepis","Cyperaceae","Poales",0,0,0,2,0,NA
"Afrotysonia","Boraginaceae","UnknownOrder-Boraginaceae",0,0,0,3,0,NA
"Afrovivella","Crassulaceae","Saxifragales",0,0,0,1,0,NA
"Afzelia","Fabaceae","Fabales",9,0,0,12,9,1
"Agalinis","Orobanchaceae","Lamiales",0,1,14,65,14,0
"Agalmyla","Gesneriaceae","Lamiales",0,0,1,96,1,0
"Aganisia","Orchidaceae","Asparagales",0,0,3,4,3,0
"Aganonerion","Apocynaceae","Gentianales",0,0,0,1,0,NA
"Aganope","Fabaceae","Fabales",0,0,0,11,0,NA
"Aganosma","Apocynaceae","Gentianales",0,3,0,8,0,NA
"Agapanthus","Amaryllidaceae","Asparagales",0,0,4,9,4,0
"Agapetes","Ericaceae","Ericales",2,0,0,147,2,1
"Agarista","Ericaceae","Ericales",9,0,0,31,9,1
"Agastache","Lamiaceae","Lamiales",0,0,7,22,7,0
"Agastachys","Proteaceae","Proteales",1,0,0,1,1,1
"Agasthiyamalaia","Clusiaceae","Malpighiales",0,0,0,1,0,NA
"Agasyllis","Apiaceae","Apiales",0,0,0,1,0,NA
"Agatea","Violaceae","Malpighiales",0,0,0,8,0,NA
"Agathelpis","Scrophulariaceae","Lamiales",0,0,1,6,1,0
"Agathis","Araucariaceae","Araucariales",13,0,0,18,13,1
"Agathisanthemum","Rubiaceae","Gentianales",0,1,0,4,0,NA
"Agathophora","Amaranthaceae","Caryophyllales",0,0,0,1,0,NA
"Agathosma","Rutaceae","Sapindales",2,0,0,145,2,1
"Agauria","Ericaceae","Ericales",0,0,0,3,0,NA
"Agave","Asparagaceae","Asparagales",2,0,26,200,28,0.0714285714285714
"Agdestis","Phytolaccaceae","Caryophyllales",0,0,1,1,1,0
"Agelaea","Connaraceae","Oxalidales",4,0,0,15,4,1
"Agelanthus","Loranthaceae","Santalales",3,0,0,61,3,1
"Agenium","Poaceae","Poales",0,0,0,3,0,NA
"Ageratella","Asteraceae","Asterales",0,0,0,2,0,NA
"Ageratina","Asteraceae","Asterales",3,0,0,334,3,1
"Ageratinastrum","Asteraceae","Asterales",0,0,0,5,0,NA
"Ageratum","Asteraceae","Asterales",0,0,2,51,2,0
"Agianthus","Brassicaceae","Brassicales",0,0,0,1,0,NA
"Aglaia","Meliaceae","Sapindales",42,0,0,114,42,1
"Aglaodorum","Araceae","Alismatales",0,0,0,1,0,NA
"Aglaomorpha","Polypodiaceae","Polypodiales",0,0,0,9,0,NA
"Aglaonema","Araceae","Alismatales",0,0,1,22,1,0
"Aglossorrhyncha","Orchidaceae","Asparagales",0,0,0,13,0,NA
"Agnesia","Poaceae","Poales",0,0,0,1,0,NA
"Agnorhiza","Asteraceae","Asterales",0,0,0,5,0,NA
"Agonandra","Opiliaceae","Santalales",6,0,0,10,6,1
"Agonis","Myrtaceae","Myrtales",3,0,0,5,3,1
"Agoseris","Asteraceae","Asterales",0,0,2,15,2,0
"Agouticarpa","Rubiaceae","Gentianales",0,0,0,7,0,NA
"Agrianthus","Asteraceae","Asterales",0,0,0,9,0,NA
"Agrimonia","Rosaceae","Rosales",0,0,4,18,4,0
"Agriophyllum","Amaranthaceae","Caryophyllales",0,0,1,6,1,0
"Agrocharis","Apiaceae","Apiales",0,0,0,3,0,NA
"Agroelymus","Poaceae","Poales",0,0,0,10,0,NA
"Agrohordeum","Poaceae","Poales",0,0,0,1,0,NA
"Agropogon","Poaceae","Poales",0,0,0,1,0,NA
"Agropyron","Poaceae","Poales",0,0,6,26,6,0
"Agropyropsis","Poaceae","Poales",0,0,0,1,0,NA
"Agrositanion","Poaceae","Poales",0,0,0,1,0,NA
"Agrostemma","Caryophyllaceae","Caryophyllales",0,0,1,2,1,0
"Agrostis","Poaceae","Poales",0,0,36,228,36,0
"Agrostistachys","Euphorbiaceae","Malpighiales",2,0,0,6,2,1
"Agrostocrinum","Xanthorrhoeaceae","Asparagales",0,0,1,2,1,0
"Agrostophyllum","Orchidaceae","Asparagales",0,0,2,102,2,0
"Agrostopoa","Poaceae","Poales",0,0,0,3,0,NA
"Agrotrigia","Poaceae","Poales",0,0,0,6,0,NA
"Aguiaria","Malvaceae","Malvales",0,0,0,1,0,NA
"Ahernia","Salicaceae","Malpighiales",1,0,0,1,1,1
"Aichryson","Crassulaceae","Saxifragales",0,0,0,18,0,NA
"Aidia","Rubiaceae","Gentianales",6,0,0,55,6,1
"Aidiopsis","Rubiaceae","Gentianales",0,0,0,1,0,NA
"Ailanthus","Simaroubaceae","Sapindales",5,0,0,7,5,1
"Ainsliaea","Asteraceae","Asterales",0,0,2,68,2,0
"Ainsworthia","Apiaceae","Apiales",0,0,0,2,0,NA
"Aiouea","Lauraceae","Laurales",5,0,0,26,5,1
"Aiphanes","Arecaceae","Arecales",19,0,0,28,19,1
"Aira","Poaceae","Poales",0,0,4,9,4,0
"Airampoa","Cactaceae","Caryophyllales",0,0,0,1,0,NA
"Airopsis","Poaceae","Poales",0,0,0,1,0,NA
"Airosperma","Rubiaceae","Gentianales",0,0,0,6,0,NA
"Airyantha","Fabaceae","Fabales",0,0,0,2,0,NA
"Aistopetalum","Cunoniaceae","Oxalidales",1,0,0,2,1,1
"Aizoanthemum","Aizoaceae","Caryophyllales",0,0,0,7,0,NA
"Aizoon","Aizoaceae","Caryophyllales",0,0,0,15,0,NA
"Ajania","Asteraceae","Asterales",2,0,1,36,3,0.666666666666667
"Ajaniopsis","Asteraceae","Asterales",0,0,0,1,0,NA
"Ajuga","Lamiaceae","Lamiales",0,0,9,71,9,0
"Ajugoides","Lamiaceae","Lamiales",0,0,0,1,0,NA
"Akania","Akaniaceae","Brassicales",1,0,0,1,1,1
"Akeassia","Asteraceae","Asterales",0,0,0,1,0,NA
"Akebia","Lardizabalaceae","Ranunculales",1,0,0,5,1,1
"Akrosida","Malvaceae","Malvales",0,0,0,2,0,NA
